Action;Project;Ecosystem;Nb_sp;Red_list_spp;Spp_PH;PH_species;PH_targeted
IUGEN2;Geni'Alp;Forest;1;0;1;1;3
ONRTM;RTM Alpes-du-Nord;Forest;4;0;1;1;0
ReAll;Reforest'Action;Forest;6;0;1;1;0
ReBu;Reforest'Action;Forest;2;0;1;1;0
ReCan;Reforest'Action;Forest;10;0;1;1;0
ReChi;Reforest'Action;Forest;3;0;1;1;0
ReInn;Reconect;Forest;NA;0;NA;NA;0
Reluc;Reforest'Action;Forest;3;0;1;1;0
ReMen;Reforest'Action;Forest;4;0;1;1;0
ReSa;Reforest'Action;Forest;4;0;2;2;0
ReSa;Reforest'Action;Forest;6;0;2;2;0
ReVe;Reforest'Action;Forest;NA;0;NA;NA;0
BIDyn;LifeLech;River;16;2;6;0;7
IUGEN1;Geni'Alp;River;3;0;2;2;3
IUROM;Romanche Séchilienne;River;2;0;1;0;3
IUSE;Isère amont;River;22;3;5;1;4
Mar;Mareta River ;River;5;1;2;1;4
ValCam;Gestire;River;2;2;2;0;3
BozHos;ClimaGrün;Urban;NA;0;NA;NA;0
Can;ReteClima;Urban;2;0;2;1;0
Fir1;Bolzano;Urban;20;2;3;4;0
NCION1;ACCLIMATISATION;Urban;28;0;0;0;0
NCION2;ACCLIMATISATION;Urban;10;0;0;0;0
NCION3;ACCLIMATISATION;Urban;5;0;0;0;0
NCION4;ACCLIMATISATION;Urban;28;0;0;0;0
NCION5;ACCLIMATISATION;Urban;11;0;0;0;0
NCION6;ACCLIMATISATION;Urban;15;0;0;0;0
NCION7;ACCLIMATISATION;Urban;16;0;0;0;0
NCION8;ACCLIMATISATION;Urban;4;0;0;0;0
PaDug;Nature4Cities;Urban;NA;0;NA;NA;0
ParNorMi;ReteClima;Urban;5;0;2;1;0
PerMi;Nature4Cities;Urban;NA;0;NA;NA;0
Cem;Iridra;Wetland;1;0;0;0;0
CeRes;CISALB;Wetland;NA;0;NA;NA;4
CiRes;CEN Savoie;Wetland;8;0;4;4;2
InRe;RestHAlp;Wetland;35;5;8;2;9
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
