Action;TYPE1;TYPE2;Sum_carbon_before;Sum_carbon_after;Carbon_ha_before;Carbon_ha_after;Increase_carbon;Increase_percentage;Economic_value
BIDyn1;River;River restoration ;871.802172161638;483.991756498813;541.492032398533;300.61599782535;-387.810415662825;-44.4837634094495;-34127.31658
BIDyn10;River;River restoration ;27.9171029832214;32.8130004405975;279.171029832214;328.130004405975;4.89589745737612;17.5372690365423;430.8389762
BIDyn11;River;River restoration ;3924.22700762748;1962.06827634572;596.387083226062;298.186668137649;-1962.15873128175;-50.0011525191567;-172669.9684
BIDyn12;River;River restoration ;1605.7225202322;1764.91490745544;531.696198752384;584.408909753458;159.192387223243;9.91406580012487;14008.93008
BIDyn2;River;River restoration ;549.914449809119;300.537254035472;544.469752286256;297.561637658884;-249.377195773646;-45.3483620698106;-21945.19323
BIDyn3;River;River restoration ;1134.41545519605;738.687694720923;423.289348953751;275.629736836166;-395.727760475128;-34.8838477704571;-34824.04292
BIDyn4;River;River restoration ;710.138546293601;829.108240664005;318.447778606996;371.797417338119;118.969694370403;16.7530258695768;10469.3331
BIDyn5;River;River restoration ;20.1240730732679;324.401254355907;18.4624523607963;297.615829684319;304.277181282639;1512.00594519223;26776.39195
BIDyn6;River;River restoration ;1729.4576331973;1138.42503744363;538.771848348071;354.649544374965;-591.032595753669;-34.1744477811236;-52010.86843
BIDyn7;River;River restoration ;737.636655569076;368.400504946708;599.70459802364;299.512605647731;-369.236150622367;-50.0566434483258;-32492.78125
BIDyn9;River;River restoration ;2.99862015992403;47.7280006408691;18.7413759995251;298.300004005432;44.7293804809451;1491.66543594766;3936.185482
BozHos1;Urban;Integration of green elements in urban areas;0.433976417;168.292076930054;0.289317611333333;112.19471795337;167.858100513054;38679.0834565221;14771.51285
Can1;Urban;Green urban area;18.20728905;320.208758711814;32.5130161607143;571.801354842527;302.001469661815;1658.68443584585;26576.12933
Cem1;Wetland;Wetland restoration (Herbaceous);0.078249603;161.504991531372;0.289813344444444;598.166635301378;161.426741928372;206297.202464238;14205.55329
CeRes1;Wetland;Wetland restoration (Herbaceous);1009.78164562582;2645.79644417762;206.077886862414;539.958457995434;1636.01479855179;162.016690008051;143969.3023
CiRes1;Wetland;Wetland restoration (Forested);3309.096022;4639.81397008895;396.774103357314;556.332610322417;1330.71794808896;40.213941790806;117103.1794
CiRes2;Wetland;Wetland restoration (Forested);2121.780313;4701.26954889297;257.185492484849;569.85085441127;2579.48923589297;121.571928068548;226995.0528
CiRes3;Wetland;Wetland restoration (Forested);615.0063995;1209.29159975051;290.097358254717;570.420565920056;594.285200250519;96.6307343685647;52297.09762
CiRes4;Wetland;Wetland restoration (Forested);1364.208478;1170.22690982371;244.48180609319;209.718084197799;-193.981568176284;-14.2193492640268;-17070.378
CiRes5;Wetland;Wetland restoration (Forested);15890.7236824035;18407.2834510803;512.769399238579;593.974941951608;2516.55976867675;15.8366592923861;221457.2596
CiRes6;Wetland;Wetland restoration (Forested);1877.69821244478;4020.76284837722;262.982942919437;563.132051593449;2143.06463593244;114.132538537285;188589.688
CiRes7;Wetland;Wetland restoration (Forested);810.545901298522;1594.06582927703;297.994816653869;586.053613704794;783.519927978515;96.6657072379601;68949.75366
Fir1;Urban;Green urban area;0.630629976047202;292.093367263674;0.286649989112365;132.769712392579;291.462737287627;46217.7106002033;25648.72088
InRe11;Wetland;Wetland restoration (Herbaceous);218.125;512.159973144531;250.718390804598;588.689624304059;294.034973144531;134.801133819842;25875.07764
InRe110;Wetland;Wetland restoration (Herbaceous);501.875;1172.72993850708;250.9375;586.36496925354;670.85493850708;133.669726228061;59035.23459
InRe111;Wetland;Wetland restoration (Herbaceous);85.546719558537;1498.68585991859;31.8017544827275;557.132289932563;1413.13914036005;1651.89167703046;124356.2444
InRe112;Wetland;Wetland restoration (Herbaceous);243.75;560.174970626831;251.288659793814;577.499969718383;316.424970626831;129.815372564854;27845.39742
InRe114;Wetland;Wetland restoration (Forested);134.441991448402;2515.41541481018;31.9339647145849;597.485846748261;2380.97342336177;1771.00428051572;209525.6613
InRe115;Wetland;Wetland restoration (Herbaceous);2 945,00;6864.68964004516;250;582.741056030999;3919.68964004516;133.0964224124;344932.6883
InRe117;Wetland;Wetland restoration (Herbaceous);1067.26819062232;1791.00311684608;353.400063119977;593.047389684134;723.734926223754;67.8119082516402;63688.67351
InRe118;Wetland;Wetland restoration (Herbaceous);209.375;485.969974517822;252.259036144578;585.505993394967;276.594974517822;132.105062456273;24340.35776
InRe119;Wetland;Wetland restoration (Herbaceous);731.25;1702.34991073608;250.428082191781;582.996544772632;971.099910736083;132.799987792968;85456.79214
InRe12;Wetland;Wetland restoration (Herbaceous);1 325,00;3080.23483848571;250;581.176384619947;1755.23483848571;132.470553847979;154460.6658
InRe122;Wetland;Wetland restoration (Herbaceous);293.125;684.082820177078;250.534188034188;584.68617109152;390.957820177078;133.375802192607;34404.28818
InRe123;Wetland;Wetland restoration (Forested);26937.2776915207;33678.3348473701;348.116796220222;435.233068588397;6741.05715584941;25.0250126722024;593213.0297
InRe124;Wetland;Wetland restoration (Herbaceous);1157.5;2697.04627954959;250;582.515395151101;1539.54627954959;133.00615806044;135480.0726
InRe125;Wetland;Wetland restoration (Herbaceous);1248.125;2901.32828557491;250.627510040161;582.596041280103;1653.20328557491;132.454945263889;145481.8891
InRe127;Wetland;Wetland restoration (Herbaceous);555;1298.50023829936;250;584.910017251968;743.500238299369;133.964006900787;65428.02097
InRe128;Wetland;Wetland restoration (Herbaceous);1229.71133232116;1945.28558659553;370.394979614809;585.929393552872;715.574254274368;58.1904253027962;62970.53438
InRe13;Wetland;Wetland restoration (Herbaceous);499.375;1164.93123435974;249.6875;582.46561717987;665.556234359741;133.27784417717;58568.94862
InRe14;Wetland;Wetland restoration (Herbaceous);829.375;1918.6794565916;251.325757575758;581.418017148971;1089.3044565916;131.340401699063;95858.79218
InRe15;Wetland;Wetland restoration (Herbaceous);158.75;372.421810984611;251.984126984127;591.145731721606;213.671810984611;134.596416368259;18803.11937
InRe17;Wetland;Wetland restoration (Herbaceous);408.75;952.268428087234;250.766871165644;584.213759562721;543.518428087234;132.970869256816;47829.62167
InRe19;Wetland;Wetland restoration (Forested);129.29809936881;455.706013441085;165.766794062578;584.238478770623;326.407914072275;252.446026403859;28723.89644
InRe20;Wetland;Wetland restoration (Herbaceous);343.125;801.937823653221;250.456204379562;585.356075659285;458.812823653221;133.7159413197;40375.52848
IUGEN1;River;River restoration ;782.85769200325;861.321155071258;547.452931470804;602.322486063817;78.4634630680084;10.0226981058625;6904.78475
IUGEN2;Forest;Active forest plantation/restoration;6782.68727026822;8346.88213057758;449.780322962083;553.50677258472;1564.19486030936;23.0615801375066;137649.1477
IUROM1;River;River restoration ;86.5870444923639;1229.12224483489;32.0692757379126;455.230461049963;1142.53520034253;1319.52211446979;100543.0976
IUSE1;River;River restoration ;55935.8871155697;64499.8840064012;324.963034424968;374.716109954111;8563.9968908315;15.3103800305113;753631.7264
IUSE2;River;River restoration ;22320.4500130647;25720.2130487048;357.298703586756;411.721034876017;3399.76303564012;15.2316061443661;299179.1471
mars-01;River;River restoration ;9412.37737244367;8996.50865650177;477.785653423537;456.675566319887;-415.868715941905;-4.41831749287307;-36596.447
NCION1;Urban;Integration of green elements in urban areas;0.31766019439965;103.90435422973;0.286180355315;93.6075263330896;103.58669403533;32609.2774170524;9115.629075
NCION2;Urban;Integration of green elements in urban areas;36.4241356098355;36.6956732111285;520.344794426221;524.223903016121;0.271537601292948;0.74548811316095;23.89530891
NCION3;Urban;Integration of green elements in urban areas;0.0123551997821778;1.88118730866699;0.308879994554445;47.0296827166749;1.86883210888482;15125.8752738307;164.4572256
NCION4;Urban;Green urban area;18.6710294749064;22.7362579004839;266.728992498663;324.803684292627;4.06522842557752;21.7729206150155;357.7401015
