Action;TYPE1;TYPE2;Runoff_ret_index_before;Runoff_ret_index_after;Population_50m;Population_100m;Population_150m;Population_200m;Economic_value;
BIDyn1;River;River restoration ;0.495157;0.801704;0;0;0;0;0.000395;
BIDyn10;River;River restoration ;0.311186;0.801703;0;0;0;0;0,00;
BIDyn11;River;River restoration ;0.542885;0.801704;0;0;0;1;0,00;
BIDyn12;River;River restoration ;0.542885;0.437396;0;0;0;0;0,00;
BIDyn2;River;River restoration ;0.498589;0.801704;1;8;19;34;0,00;
BIDyn3;River;River restoration ;0.363229;0.314625;6;11;15;30;-0.02601;
BIDyn4;River;River restoration ;0.417774;0.391394;1;3;6;8;-428149.927228;
BIDyn5;River;River restoration ;0.030143;0.801704;0;0;0;0;0,00;
BIDyn6;River;River restoration ;0.533324;0.812344;0;0;0;0;25.44352;
BIDyn7;River;River restoration ;0.542885;0.801704;0;1;1;2;0,00;
BIDyn9;River;River restoration ;0.030143;0.801704;0;0;0;0;0,00;
BozHos1;Urban;Integration of green elements in urban areas;0.059624;0.269899;1003;3055;3557;4724;0.344893;
Can1;Urban;Green urban area;0.248905;0.656789;630;1606;2947;4660;0.063131;
Cem1;Wetland;Wetland restoration (Herbaceous);0.344949;0.347247;0;0;0;0;0,00;
CeRes1;Wetland;Wetland restoration (Herbaceous);0.425494;0.432723;24;74;92;100;81093.4201699998;
CiRes1;Wetland;Wetland restoration (Forested);0.654372;0.651542;0;0;0;1;0,00;
CiRes2;Wetland;Wetland restoration (Forested);0.515265;0.358263;0;2;10;21;-112729.447163;
CiRes3;Wetland;Wetland restoration (Forested);0.501493;0.435895;0;0;1;8;0,00;
CiRes4;Wetland;Wetland restoration (Forested);0.532865;0.327933;0;0;0;3;0,00;
CiRes5;Wetland;Wetland restoration (Forested);0.526127;0.485376;0;0;0;8;0.003882;
CiRes6;Wetland;Wetland restoration (Forested);0.399961;0.364189;0;0;0;0;0,00;
CiRes7;Wetland;Wetland restoration (Forested);0.533551;0.389199;235;527;881;1265;0,00;
Fir1;Urban;Green urban area;0.303634;0.489694;548;1325;2334;3532;2045719.765639;
InRe11;Wetland;Wetland restoration (Herbaceous);0.51423;0.347247;0;0;3;32;-0.000004;
InRe110;Wetland;Wetland restoration (Herbaceous);0.51423;0.347247;0;3;16;39;-0.121783;
InRe111;Wetland;Wetland restoration (Herbaceous);0.248905;0.672893;0;0;0;0;0,00;
InRe112;Wetland;Wetland restoration (Herbaceous);0.51376;0.346922;0;0;0;0;0,00;
InRe114;Wetland;Wetland restoration (Forested);0.248905;0.656788;0;0;0;0;0,00;
InRe115;Wetland;Wetland restoration (Herbaceous);0.509719;0.344136;11;56;134;228;-170215.353582;
InRe117;Wetland;Wetland restoration (Herbaceous);0.615803;0.656788;0;0;0;0;0,00;
InRe118;Wetland;Wetland restoration (Herbaceous);0.51423;0.347247;0;0;9;24;0,00;
InRe119;Wetland;Wetland restoration (Herbaceous);0.51423;0.347247;0;0;0;0;-0.00018;
InRe12;Wetland;Wetland restoration (Herbaceous);0.464853;0.313198;0;0;3;18;0,00;
InRe122;Wetland;Wetland restoration (Herbaceous);0.51423;0.347247;0;0;0;0;0,00;
InRe123;Wetland;Wetland restoration (Forested);0.519098;0.393149;0;0;40;111;-60.191896;
InRe124;Wetland;Wetland restoration (Herbaceous);0.51423;0.347247;0;0;1;6;-63479.761522;
InRe125;Wetland;Wetland restoration (Herbaceous);0.470962;0.317411;0;0;0;0;-0.000113;
InRe127;Wetland;Wetland restoration (Herbaceous);0.51423;0.347247;0;0;0;0;0,00;
InRe128;Wetland;Wetland restoration (Herbaceous);0.563776;0.454826;0;4;9;19;-0.000324;
InRe13;Wetland;Wetland restoration (Herbaceous);0.51423;0.347247;0;21;116;237;-0.000325;
InRe14;Wetland;Wetland restoration (Herbaceous);0.411816;0.276627;0;0;0;0;0,00;
InRe15;Wetland;Wetland restoration (Herbaceous);0.51423;0.347247;0;0;0;0;0,00;
InRe17;Wetland;Wetland restoration (Herbaceous);0.51423;0.347247;12;44;93;147;-0.007301;
InRe19;Wetland;Wetland restoration (Forested);0.41054;0.347247;0;0;0;3;0,00;
InRe20;Wetland;Wetland restoration (Herbaceous);0.51423;0.347247;0;0;0;0;0,00;
IUGEN1;River;River restoration ;0.030143;0.434762;0;0;10;30;10.126952;
IUGEN2;Forest;Active forest plantation/restoration;0.583127;0.621426;7;15;22;26;0.014546;
IUROM1;River;River restoration ;0.242966;0.648073;21;48;98;146;0.305785;
IUSE1;River;River restoration ;0.425783;0.481557;0;0;0;0;1.291689;
IUSE2;River;River restoration ;0.485533;0.522804;0;11;28;48;0.320265;
