Action;TYPE1;TYPE2;Avrg_CC_before;Avrg_CC_after;Avrg_WGTB_before;Avrg_WGTB_after;Population_30m;Population_240m;Population_450m;Economic_value
BIDyn1;River;River restoration ;0.82;0.262;33.41;33.08;0;0;0;0
BIDyn10;River;River restoration ;0.387;0.254;36.79;35.7;0;0;0;0
BIDyn11;River;River restoration ;0.9;0.261;33.08;33.08;0;1;5;0
BIDyn12;River;River restoration ;0.777;0.454;35.7;35.7;4.39430225893287;102.68715065522;317.97668887972;0
BIDyn2;River;River restoration ;0.827;0.258;35.87;35.7;0.193808046608348;56.7400590318055;214.149419536098;0
BIDyn3;River;River restoration ;0.259;0.208;32.31;32.76;2.06155724542205;22.4011104961892;63.6437375121145;-293058.287698
BIDyn4;River;River restoration ;0.39;0.341;33.39;32.83;0.321676055766;7.47542577238;17.48728108624;1616238.379678
BIDyn5;River;River restoration ;0.099;0.263;37.06;32.52;0;0;4.98299888839429;0
BIDyn6;River;River restoration ;0.891;0.867;30.58;30.58;0;0.666373952115938;15.5468470781923;0
BIDyn7;River;River restoration ;0.886;0.85;32.05;32.05;0;13.8247005051709;23.920865412;0
BIDyn9;River;River restoration ;0.1;0.258;37.07;32.52;0;0;0;0
BozHos1;Urban;Integration of green elements in urban areas;0.093;0.111;42.07;41.35;601;4808;9051;3746028.953322
Can1;Urban;Green urban area;0.127;0.82;37.34;37.34;68.454030930929;1270.43656476535;3784.8950651212;0
Cem1;Wetland;Wetland restoration (Herbaceous);0.088;0.156;39.28;38.67;0;0;0;0
CeRes1;Wetland;Wetland restoration (Herbaceous);0.383;0.402;38.78;38.78;3.64188557554008;71.5004409543644;101.101156522688;0
CiRes1;Wetland;Wetland restoration (Forested);0.468;0.476;39.57;39.57;0;9.68417911457634;121.359560360553;0
CiRes2;Wetland;Wetland restoration (Forested);0.279;0.3;39.57;39.57;0;20.495727933989;166.409800793386;0
CiRes3;Wetland;Wetland restoration (Forested);0.343;0.421;39.57;39.57;0;23.9800924774106;122.142684546553;0
CiRes4;Wetland;Wetland restoration (Forested);0.249;0.242;39.57;39.57;0;11.4822206894487;85.9043881955133;0
CiRes5;Wetland;Wetland restoration (Forested);0.267;0.272;39.57;39.57;0;21.1874921161553;62.1010407164741;0
CiRes6;Wetland;Wetland restoration (Forested);0.281;0.333;39.57;39.57;0;0;15.6400594749933;0
CiRes7;Wetland;Wetland restoration (Forested);0.248;0.263;39.57;39.57;135.864906192621;1589.87389426202;3464.59450207606;0
Fir1;Urban;Green urban area;0.086;0.254;42.08;41.54;227.190560823585;3397.93769685478;8214.03389570095;3841452.334872
InRe11;Wetland;Wetland restoration (Herbaceous);0.206;0.223;38.7;38.7;0;77.1017751097789;394.732096066348;0
InRe110;Wetland;Wetland restoration (Herbaceous);0.175;0.175;38.73;38.73;0;84.7149430265608;309.944991031007;0
