Action;TYPE1;TYPE2;Landslide_probability_before;Landslide_probability_after;Urban_20m;Urban_65m;Urban_200m;Agriculture_20m;Agriculture_65m;Agriculture_200m;Road_20m;Road_65m;Road_200m;Population_20m;Population_65m;Population_200m;Economic_value_20m;Economic_value_65m;Economic_value_200m;Area_ha
BIDyn1;River;River restoration ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.61
BIDyn10;River;River restoration ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1
BIDyn11;River;River restoration ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.58
BIDyn12;River;River restoration ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.02
BIDyn2;River;River restoration ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.01
BIDyn3;River;River restoration ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.68
BIDyn4;River;River restoration ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.23
BIDyn5;River;River restoration ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.09
BIDyn6;River;River restoration ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.21
BIDyn7;River;River restoration ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.23
BIDyn9;River;River restoration ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16
BozHos1;Urban;Integration of green elements in urban areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5
Can1;Urban;Green urban area;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.56
Cem1;Wetland;Wetland restoration (Herbaceous);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.27
CeRes1;Wetland;Wetland restoration (Herbaceous);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.9
CiRes1;Wetland;Wetland restoration (Forested);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.34
