Action;Project;Area_ha;TYPE1;TYPE2;GDP_2021;Cost_action;Tot_value_ha_EUR;Tot_value_EUR;Cost_eff_tot
BIDyn1;BIDyn;1,61;River;River restoration ;65597;428014,1449;-21197,0908;-34127,31619;-0,079734085
BIDyn10;BIDyn;0,1;River;River restoration ;1558270;26584,72949;4308,389762;430,8389762;0,016206258
BIDyn11;BIDyn;6,58;River;River restoration ;16811;1749275,201;-26241,63653;-172669,9684;-0,098709436
BIDyn12;BIDyn;3,02;River;River restoration ;6966812;802858,8307;4638,71857;14008,93008;0,017448809
BIDyn2;BIDyn;1,01;River;River restoration ;8338566;268505,7679;-21727,91409;-21945,19323;-0,081730808
BIDyn3;BIDyn;2,68;River;River restoration ;575256;712470,7504;-122344,1629;-327882,3566;-0,460204656
BIDyn4;BIDyn;2,23;River;River restoration ;30875;592839,4677;537469,859;1198557,786;2,021724009
BIDyn5;BIDyn;1,09;River;River restoration ;10377;289773,5515;24565,4972;26776,39195;0,092404541
BIDyn6;BIDyn;3,21;River;River restoration ;133806;853369,8168;-16194,83642;-51985,42491;-0,060917815
BIDyn7;BIDyn;1,23;River;River restoration ;93395;326992,1728;-26416,89533;-32492,78125;-0,099368682
BIDyn9;BIDyn;0,16;River;River restoration ;4670;42535,56719;24601,15926;3936,185482;0,092538686
BozHos1;BozHos;1,5;Urban;Integration of green elements in urban areas;96451489;874000;2507200,541;3760800,811;4,302975756
Can1;Can;0,56;Urban;Green urban area;154753550;36400;47457,48654;26576,19246;0,730115178
Cem1;Cem;0,27;Wetland;Wetland restoration (Herbaceous);28600;125000;52613,16033;14205,55329;0,113644426
CeRes1;CeRes;4,9;Wetland;Wetland restoration (Herbaceous);138796;341300;45931,16785;225062,7225;0,659427842
CiRes1;CiRes;8,34;Wetland;Wetland restoration (Forested);79365;47440,7;14041,14861;117103,1794;2,46841171
CiRes2;CiRes;8,25;Wetland;Wetland restoration (Forested);322466;46928,75;13850,37644;114265,6056;2,434874264
CiRes3;CiRes;2,12;Wetland;Wetland restoration (Forested);8344;12059,26667;24668,44227;52297,09762;4,336673122
CiRes4;CiRes;5,58;Wetland;Wetland restoration (Forested);178460;31740,9;-3059,207527;-17070,378;-0,537803843
CiRes5;CiRes;30,99;Wetland;Wetland restoration (Forested);100281;176281,45;7146,087883;221457,2635;1,256270943
